['51', '32', '33', '88', '0', '51', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '0', '0', '0', '-88', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-51', '-32', '-33', '0', '-100', '-33', '-32', '-51']
['51', '32', '33', '88', '0', '51', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '10', '0', '0', '0', '-1', '0', '-1', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-51', '-32', '-33', '0', '-100', '-33', '-32', '-51']
['51', '32', '33', '88', '0', '51', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '10', '0', '0', '0', '-1', '0', '-1', '0', '0', '-32', '0', '0', '0', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-51', '-32', '-33', '0', '-100', '-33', '0', '-51']
['51', '32', '33', '88', '0', '51', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '10', '0', '0', '0', '-1', '0', '-1', '-1', '-1', '-1', '-1', '-51', '-32', '-33', '0', '-100', '-33', '0', '-51']
['51', '32', '33', '88', '0', '51', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '-1', '0', '0', '0', '-1', '0', '-1', '0', '-1', '-1', '-1', '-51', '-32', '-33', '0', '-100', '-33', '0', '-51']
['51', '32', '33', '88', '51', '0', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '-1', '0', '0', '0', '-1', '0', '-1', '0', '-1', '-1', '-1', '-51', '-32', '-33', '0', '-100', '-33', '0', '-51']
['51', '32', '33', '88', '51', '0', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '-1', '0', '0', '0', '-1', '0', '-1', '-33', '-1', '-1', '-1', '-51', '-32', '-33', '0', '-100', '0', '0', '-51']
['51', '32', '33', '0', '51', '0', '100', '0', '10', '10', '10', '0', '88', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '-1', '0', '0', '0', '-1', '0', '-1', '-33', '-1', '-1', '-1', '-51', '-32', '-33', '0', '-100', '0', '0', '-51']
['51', '32', '33', '0', '51', '0', '100', '0', '10', '10', '10', '0', '88', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '-1', '0', '0', '0', '-1', '0', '-1', '-33', '-1', '-1', '-1', '-51', '-32', '-33', '0', '0', '-51', '-100', '0']
['51', '32', '33', '0', '51', '0', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '-1', '0', '0', '0', '-1', '0', '-1', '88', '-1', '-1', '-1', '-51', '-32', '-33', '0', '0', '-51', '-100', '0']
['51', '32', '33', '0', '51', '0', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '-1', '-1', '0', '0', '-1', '0', '-1', '88', '-1', '0', '-1', '-51', '-32', '-33', '0', '0', '-51', '-100', '0']
['51', '32', '0', '0', '51', '0', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '-1', '0', '0', '-1', '-1', '33', '0', '-1', '0', '-1', '88', '-1', '0', '-1', '-51', '-32', '-33', '0', '0', '-51', '-100', '0']
['51', '32', '0', '0', '51', '0', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '0', '0', '0', '0', '-1', '0', '0', '0', '0', '-1', '-1', '33', '0', '-1', '0', '-1', '88', '-1', '0', '-1', '-51', '-32', '-33', '0', '0', '-51', '-100', '0']
['51', '32', '0', '0', '51', '0', '100', '0', '10', '10', '10', '0', '0', '10', '10', '10', '0', '0', '0', '33', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '0', '0', '0', '0', '-1', '0', '0', '0', '0', '-1', '-1', '33', '0', '-1', '0', '-1', '0', '-1', '0', '-1', '-51', '-32', '-33', '0', '0', '88', '-100', '0']
['51', '32', '33', '88', '100', '33', '32', '51', '10', '10', '10', '10', '0', '10', '10', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-51', '-32', '-33', '-88', '-100', '-33', '-32', '-51']
['51', '32', '33', '88', '100', '33', '32', '51', '10', '10', '10', '10', '0', '10', '10', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '0', '0', '-1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-1', '-1', '-1', '-1', '0', '-1', '-1', '-1', '-51', '-32', '-33', '-88', '-100', '-33', '-32', '-51']
