['51', '0', '33', '88', '100', '33', '32', '51', '0', '10', '10', '10', '10', '10', '10', '10', '0', '0', '0', '0', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '0', '0', '-10', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '-10', '-10', '-10', '-51', '-32', '-33', '-88', '-100', '-33', '-32', '-51']
['51', '0', '33', '88', '100', '33', '32', '51', '0', '10', '10', '10', '10', '10', '10', '10', '0', '0', '0', '0', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '0', '0', '-10', '0', '0', '0', '-32', '0', '0', '0', '-10', '-10', '0', '0', '-10', '-10', '-10', '-51', '-32', '-33', '-88', '-100', '-33', '0', '-51']
['51', '0', '33', '88', '100', '33', '32', '51', '0', '10', '10', '10', '10', '10', '0', '10', '0', '0', '0', '0', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '10', '0', '0', '0', '0', '-10', '-10', '0', '0', '0', '0', '-10', '0', '0', '0', '-32', '0', '0', '0', '-10', '-10', '0', '0', '-10', '-10', '-10', '-51', '-32', '-33', '-88', '-100', '-33', '0', '-51']
['51', '0', '33', '88', '100', '33', '32', '51', '0', '10', '10', '10', '10', '10', '0', '10', '0', '0', '0', '0', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '-32', '0', '0', '0', '0', '-10', '-10', '0', '0', '0', '0', '-10', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '-10', '-10', '-10', '-51', '-32', '-33', '-88', '-100', '-33', '0', '-51']
['51', '0', '33', '88', '100', '33', '32', '51', '0', '10', '10', '0', '10', '10', '0', '10', '0', '0', '0', '10', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '-32', '0', '0', '0', '0', '-10', '-10', '0', '0', '0', '0', '-10', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '-10', '-10', '-10', '-51', '-32', '-33', '-88', '-100', '-33', '0', '-51']
['51', '0', '33', '88', '100', '33', '32', '51', '0', '10', '10', '0', '10', '-32', '0', '10', '0', '0', '0', '10', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '0', '0', '-10', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '-10', '-10', '-10', '-51', '-32', '-33', '-88', '-100', '-33', '0', '-51']
['51', '0', '33', '88', '0', '33', '32', '51', '0', '10', '10', '0', '10', '100', '0', '10', '0', '0', '0', '10', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '0', '0', '-10', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '-10', '-10', '-10', '-51', '-32', '-33', '-88', '-100', '-33', '0', '-51']
['51', '0', '33', '88', '0', '33', '32', '51', '0', '10', '10', '0', '10', '100', '0', '10', '0', '0', '0', '10', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '0', '-88', '0', '0', '0', '-10', '-10', '0', '0', '0', '0', '-10', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '-10', '-10', '-10', '-51', '-32', '-33', '0', '-100', '-33', '0', '-51']
['51', '0', '33', '88', '0', '33', '32', '51', '0', '10', '10', '0', '10', '0', '0', '10', '0', '0', '0', '10', '0', '100', '0', '0', '10', '0', '0', '0', '0', '0', '0', '-88', '0', '0', '0', '-10', '-10', '0', '0', '0', '0', '-10', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '-10', '-10', '-10', '-51', '-32', '-33', '0', '-100', '-33', '0', '-51']
['51', '0', '33', '88', '0', '33', '32', '51', '0', '10', '10', '0', '10', '0', '0', '10', '0', '0', '0', '10', '0', '100', '0', '0', '10', '0', '0', '0', '0', '0', '0', '-88', '0', '0', '-33', '-10', '-10', '0', '0', '0', '0', '-10', '0', '0', '0', '0', '0', '0', '0', '-10', '-10', '0', '0', '-10', '-10', '-10', '-51', '-32', '-33', '0', '-100', '0', '0', '-51']
